id,image_path,mask_path,empty,segmentation,n,p,k,fold
11,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_11.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_11.jpg,FALSE,", ,",2,2,0,1
12,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_12.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_12.jpg,FALSE,", ,",2,2,0,1
13,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_13.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_13.jpg,FALSE,", ,",2,1,0,1
14,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_14.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_14.jpg,FALSE,", ,",0,0,0,1
15,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_15.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_15.jpg,FALSE,", ,",0,2,0,1
16,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_16.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_16.jpg,FALSE,", ,",2,1,0,1
17,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_17.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_17.jpg,FALSE,", ,",2,0,0,1
18,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_18.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_18.jpg,FALSE,", ,",2,0,0,1
19,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_19.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_19.jpg,FALSE,", ,",2,0,0,1
20,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_20.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_20.jpg,FALSE,", ,",2,2,0,1
21,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_21.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_21.jpg,FALSE,", ,",0,2,0,1
22,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_22.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_22.jpg,FALSE,", ,",2,0,0,1
23,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_23.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_23.jpg,FALSE,", ,",0,2,0,1
24,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_24.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_24.jpg,FALSE,", ,",1,2,0,1
25,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_25.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_25.jpg,FALSE,", ,",0,0,0,1
26,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_26.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_26.jpg,FALSE,", ,",1,2,0,1
27,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_27.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_27.jpg,FALSE,", ,",2,2,0,1
28,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_28.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_28.jpg,FALSE,", ,",2,2,0,1
30,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_30.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_30.jpg,FALSE,", ,",0,2,0,1
31,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_31.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_31.jpg,FALSE,", ,",1,0,0,1
32,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_32.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_32.jpg,FALSE,", ,",2,2,0,1
33,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_33.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_33.jpg,FALSE,", ,",2,1,0,1
34,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_34.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_34.jpg,FALSE,", ,",0,0,0,1
35,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_35.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_35.jpg,FALSE,", ,",2,1,0,1
36,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_36.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_36.jpg,FALSE,", ,",2,1,0,1
37,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/cropped_image_37.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220326/mask_image_37.jpg,FALSE,", ,",0,2,0,1
39,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_0.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_0.jpg,FALSE,", ,",0,0,0,0
40,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_1.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_1.jpg,FALSE,", ,",0,0,0,0
41,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_2.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_2.jpg,FALSE,", ,",0,0,2,0
42,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_3.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_3.jpg,FALSE,", ,",0,0,1,0
43,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_4.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_4.jpg,FALSE,", ,",0,0,1,1
44,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_5.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_5.jpg,FALSE,", ,",0,0,2,1
45,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_6.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_6.jpg,FALSE,", ,",0,0,1,1
46,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_7.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_7.jpg,FALSE,", ,",0,0,1,1
47,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_8.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_8.jpg,FALSE,", ,",0,0,1,1
48,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_9.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_9.jpg,FALSE,", ,",0,0,2,1
49,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_10.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_10.jpg,FALSE,", ,",0,0,2,1
50,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_11.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_11.jpg,FALSE,", ,",0,0,0,1
51,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_12.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_12.jpg,FALSE,", ,",0,0,1,1
52,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_13.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_13.jpg,FALSE,", ,",0,0,0,1
53,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_14.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_14.jpg,FALSE,", ,",0,0,2,1
54,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_15.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_15.jpg,FALSE,", ,",0,0,2,1
55,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_16.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_16.jpg,FALSE,", ,",0,0,2,1
56,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_17.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_17.jpg,FALSE,", ,",0,0,2,1
57,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_18.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_18.jpg,FALSE,", ,",0,0,2,1
58,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/cropped_image_19.tiff,/kaggle/input/cropped-field/cropped_images/cropped_images/Multi_4Cm_Ortho_20220913/mask_image_19.jpg,FALSE,", ,",0,0,2,1
